URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=65419&version=2;2015;15-051r3;http://www.opengis.net/doc/PER/tb11-geo4niem-arch;Testbed-11;Testbed-11 OGC IP Engineering Report Geo4NIEM Architecture Design and Implementation Guidance and Fact Sheet;Security,Services,WFS,GML,XML,Architecture,Profiling,Data Formats,Events,IP,;DataModels.Other
https://portal.opengeospatial.org/modules/files/details.php?m=projects&a=view&project_id=82&tab=0&artifact_id=34918;2015;15-052r1;http://www.opengis.net/doc/PER/tb11_rest_er;Testbed-11;Testbed 11 REST Interface Engineering Report;REST,Services,WFS,WMTS,XML,Atom,Architecture,Mapping,GML,Messaging,;Architecture.REST
https://portal.opengeospatial.org/files/?artifact_id=64595&version=1;2015;15-053r1;http://www.opengis.net/doc/PER/tb-11-geojson-in-ogc;Testbed-11;Testbed 11 Implementing JSON/GeoJSON in an OGC Standard Engineering Report;JSON,GeoJSON,JSON-LD,OWS Context,WMTS,XML,Services,RDF,Mapping,WFS,;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=64405&version=2;2015;15-054;http://www.opengis.net/doc/PER/t11-linked-data;Testbed-11;Testbed-11 Implementing Linked Data and Semantically Enabling OGC Services Engineering Report;Semantic,RDF,Ontology,Linked Data,Services,Mapping,REST,Domains,Portrayal,Architecture,;Semantic.LinkedData
https://portal.opengeospatial.org/files/?artifact_id=64382&version=2;2015;15-056;http://www.opengis.net/doc/PER/t11-cat-discovery;Testbed-11;Testbed-11 Catalogue Service and Discovery Engineering Report;CSW,Services,RDF,Semantic,Catalog,OpenSearch,Mapping,Ontology,Hydrology,Architecture,;Services.CSW, Semantic.Mediation
https://portal.opengeospatial.org/files/?artifact_id=64353&version=2;2015;15-057r2;http://www.opengeospatial.net/doc/PER/t11-social-media-in-EM;Testbed-11;Testbed-11 Incorporating Social Media in Emergency Response Engineering Report;Ontology,SOS,Linked Data,RDF,Services,Platforms,Semantic,REST,Architecture,Mapping,;Domains.DisasterManagement
https://portal.opengeospatial.org/files/?artifact_id=64385&version=3;2015;15-058;http://www.opengis.net/doc/PER/tb11-symbology-mediation;Testbed-11;Testbed-11 Symbology Mediation Engineering Report;RDF,Ontology,Mapping,Portrayal,Semantic,Services,Linked Data,Taxonomy,REST,Domains,;Semantic.Mappings, Clients.Portrayal
https://portal.opengeospatial.org/files/?artifact_id=64145&version=2;2015;15-065r1;http://www.opengis.net/doc/PER/t11-referenceable-grid;Testbed-11;Testbed11 Referenceable Grid Harmonization Engineering Report;GML,Coverage,SensorML,Domains,Cloud,Compliance,SWE,Governance,Services,Events,;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=64173&version=2;2015;15-066r1;http://www.opengis.net/doc/PER/t11-linked-data-nhd;Testbed-11;Testbed-11 Use of Semantic Linked Data with RDF for National Map NHD and Gazetteer Data Engineering Report;Linked Data,WFS,RDF,Semantic,Services,CSW,Mapping,JSON-LD,Architecture,Cloud,;Semantic.LinkedData
https://portal.opengeospatial.org/files/?artifact_id=63663&version=2;2015;15-067;http://www.opengis.net/doc/PER/T11-geopackage-terrain;Testbed-11;Testbed-11 Multi-dimensional GeoPackage Supporting Terrain and Routes Engineering Report;Coverage,Data Modeling,Services,GML,Governance,Events,WFS,WCS,Mapping,Architecture,;DataStorage.GeoPackage
