URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
http://docs.opengeospatial.org/per/16-053r1.html;2017;16-053r1;http://www.opengis.net/doc/PER/t12-A086;Testbed-12;Testbed-12 OWS Context: JSON, JSON-LD and HTML5 ER;RDF, GeoJSON, browser;DataModels.Modeling, Semantic.LinkedData
http://docs.opengeospatial.org/per/16-055.html;2017;16-055;http://www.opengis.net/doc/PER/t12-A069;Testbed-12;Testbed-12 Compression Techniques Engineering Report;DDIL, WFS;Clients.Communication
http://docs.opengeospatial.org/per/16-056.html;2017;16-056;http://www.opengis.net/doc/PER/t12-A005-3;Testbed-12;Testbed-12 TopoJSON, GML Engineering Report;GeoJSON, WFS;DataModels.Modeling
http://docs.opengeospatial.org/per/16-059.html;2017;16-059;http://www.opengis.net/doc/PER/t12-A066;Testbed-12;Testbed-12 Semantic Portrayal, Registry and Mediation Engineering Report;ontology, OWL, OWL, registry, catalog;Semantic.Registries, DataModels.Modeling, Semantic.LinkedData
http://docs.opengeospatial.org/per/16-061.html;2017;16-061;http://www.opengis.net/doc/PER/t12-E004;Testbed-12;Testbed-12 Aviation SBVR Engineering Report;;Domains.Aviation
http://docs.opengeospatial.org/per/16-062.html;2017;16-062;http://www.opengis.net/doc/PER/t12-A072;Testbed-12;Testbed-12 Catalogue and SPARQL Engineering Report;catalog, ontology, registry, RDF, CSW,catalog;Semantic.LInkedData, Semantic.Registries
http://docs.opengeospatial.org/per/16-063.html;2017;16-063;http://www.opengis.net/doc/PER/t12-B003;Testbed-12;Testbed-12 Arctic Spatial Data Infrastructure Engineering Report;registry, catalog, WCS;Domains.Arctic
http://docs.opengeospatial.org/per/16-067r4.html;2017;16-067r4;http://www.opengis.net/doc/PER/t12-A068;Testbed-12;Testbed-12 Vector Tiling Implementation Engineering Report;tiles, GeoJSON;DataModels.Vector Tiling
http://docs.opengeospatial.org/per/16-068r4.html;2017;16-068r4;http://www.opengis.net/doc/PER/t12-A008;Testbed-12;Testbed-12 Vector Tiling Engineering Report;tiles;DataModels.3DTiles, DataModels.I3S, DataModels.VectorTiling, DataModels.CDB
http://docs.opengeospatial.org/per/16-137r2.html;2017;16-137r2;http://www.opengis.net/doc/PER/t12-A074;Testbed-12;Testbed-12 PubSub / Catalog Engineering Report;CSW, catalog;Services.CSW, Architecture.AsynchronousCommunication
http://docs.opengeospatial.org/per/17-048.html;2017;17-048;http://www.opengis.net/doc/PER/uicds;Underground Infrastructure Concept Development Study;OGC Underground Infrastructure Concept Study Engineering Report;;Domains.SmartCities
http://docs.opengeospatial.org/per/15-118r1.html;2016;15-118r1;http://www.opengis.net/doc/PER/IMIS-Profile-recs4-OWS;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing Profile Recommendations for OGC Web Services Engineering Report;CSW, SWE, SensorML, WMS, SOS, WFS, WPS, catalog;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-014r2.html;2016;16-014r2;http://www.opengis.net/doc/PER/imis_iot;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing (IMIS) Internet of Things (IoT) Architecture Engineering Report;;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-092r2.html;2016;16-092r2;http://www.opengis.net/doc/PER/imis_iot_ext;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing (IMIS) Internet of Things (IoT) Extension Engineering Report;messaging, SWE;Domains.InternetOfThings
